id,timestamp,user_id,text,platform
post_000000,2025-05-25 20:41:08,user_532,质量太差了，完全不值这个价格,微博
post_000001,2025-05-10 05:13:08,user_568,发货太慢了，等了好久才收到,微博
post_000002,2025-05-22 19:28:08,user_929,包装精美，产品质量很好,抖音
post_000003,2025-05-23 01:20:08,user_538,客服很耐心，解决问题很及时,微信
post_000004,2025-05-29 03:26:08,user_107,服务态度超级好，非常满意！,小红书
post_000005,2025-05-30 04:35:08,user_528,包装破损，产品也有问题,抖音
post_000006,2025-05-11 02:14:08,user_830,发货速度正常，产品符合预期,微博
post_000007,2025-05-24 18:57:08,user_311,包装破损，产品也有问题,微博
post_000008,2025-05-25 14:11:08,user_986,包装还可以，产品一般般,小红书
post_000009,2025-05-19 20:27:08,user_680,质量很不错，物超所值,抖音
post_000010,2025-05-18 11:25:08,user_336,发货速度很快，很满意这次购物体验,抖音
post_000011,2025-05-05 10:28:08,user_611,客服很耐心，解决问题很及时,小红书
post_000012,2025-05-11 06:56:08,user_495,客服很耐心，解决问题很及时,微信
post_000013,2025-05-14 11:47:08,user_75,发货速度正常，产品符合预期,微博
post_000014,2025-05-26 11:28:08,user_768,发货速度正常，产品符合预期,微博
post_000015,2025-05-18 16:14:08,user_236,客服态度很差，问题一直没解决,微博
post_000016,2025-05-08 15:36:08,user_579,质量太差了，完全不值这个价格,知乎
post_000017,2025-05-30 09:20:08,user_1000,发货速度正常，产品符合预期,微博
post_000018,2025-05-10 12:58:08,user_165,客服很耐心，解决问题很及时,抖音
post_000019,2025-05-06 18:28:08,user_358,服务态度超级好，非常满意！,微信
post_000020,2025-05-21 20:55:08,user_834,价格适中，质量还行,抖音
post_000021,2025-05-27 14:05:08,user_925,质量很不错，物超所值,小红书
post_000022,2025-05-08 22:18:08,user_977,客服回复及时，产品质量一般,小红书
post_000023,2025-05-31 05:39:08,user_150,发货速度很快，很满意这次购物体验,抖音
post_000024,2025-06-01 22:09:08,user_807,售后服务太差了，不会再买了,微信
post_000025,2025-05-15 16:55:08,user_143,客服态度很差，问题一直没解决,抖音
post_000026,2025-05-10 23:24:08,user_620,发货速度正常，产品符合预期,知乎
post_000027,2025-05-06 01:54:08,user_695,包装精美，产品质量很好,微信
post_000028,2025-05-21 17:10:08,user_478,发货速度很快，很满意这次购物体验,微信
post_000029,2025-06-01 00:43:08,user_701,包装还可以，产品一般般,微博
post_000030,2025-05-15 07:11:08,user_372,价格适中，质量还行,微博
post_000031,2025-05-25 12:00:08,user_994,这个产品真的很棒！强烈推荐给大家,微博
post_000032,2025-05-19 14:43:08,user_296,这个产品真的很棒！强烈推荐给大家,小红书
post_000033,2025-05-03 10:35:08,user_847,发货速度正常，产品符合预期,微博
post_000034,2025-05-26 16:29:08,user_54,整体还可以，没有特别惊喜,抖音
post_000035,2025-05-03 18:34:08,user_646,包装破损，产品也有问题,知乎
post_000036,2025-05-26 05:05:08,user_478,客服回复及时，产品质量一般,小红书
post_000037,2025-05-09 22:18:08,user_972,价格适中，质量还行,知乎
post_000038,2025-05-30 22:10:08,user_272,产品和描述完全不符，很失望,小红书
post_000039,2025-05-26 20:45:08,user_492,产品和描述完全不符，很失望,小红书
post_000040,2025-05-23 05:28:08,user_177,客服回复及时，产品质量一般,抖音
post_000041,2025-05-18 21:06:08,user_772,收到货了，还没来得及试用,小红书
post_000042,2025-05-06 13:46:08,user_637,价格适中，质量还行,知乎
post_000043,2025-05-28 17:11:08,user_757,发货速度正常，产品符合预期,知乎
post_000044,2025-05-08 00:11:08,user_293,发货速度很快，很满意这次购物体验,小红书
post_000045,2025-05-17 04:04:08,user_894,包装还可以，产品一般般,抖音
post_000046,2025-05-13 18:50:08,user_823,价格适中，质量还行,微信
post_000047,2025-05-28 15:21:08,user_687,这个产品真的很棒！强烈推荐给大家,小红书
post_000048,2025-05-28 18:55:08,user_243,价格适中，质量还行,知乎
post_000049,2025-05-30 15:21:08,user_258,包装精美，产品质量很好,微博
post_000050,2025-05-27 11:43:08,user_688,包装还可以，产品一般般,小红书
post_000051,2025-05-03 15:32:08,user_947,包装破损，产品也有问题,知乎
post_000052,2025-05-16 11:55:08,user_536,这个产品真的很棒！强烈推荐给大家,小红书
